group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
chinese-poem,jdylc-10.png,"(2000, 3537)",L,"[145, 3113, 597, 3419]",0,pstylish7_chinese-poem
chinese-poem,jdylc-10.png,"(2000, 3537)",T-V,"[633, 419, 843, 1643]",0,pstylish7_chinese-poem
chinese-poem,jdylc-10.png,"(2000, 3537)",T-V,"[371, 432, 609, 1647]",0,pstylish7_chinese-poem
chinese-poem,jdylc-10.png,"(2000, 3537)",T-V,"[189, 557, 310, 1639]",0,pstylish7_chinese-poem
chinese-poem,jdylc-13.png,"(1500, 2653)",L,"[81, 2365, 436, 2607]",0,pstylish7_chinese-poem
chinese-poem,jdylc-13.png,"(1500, 2653)",T-V,"[454, 293, 548, 1783]",0,pstylish7_chinese-poem
chinese-poem,jdylc-13.png,"(1500, 2653)",T-V,"[330, 293, 427, 1347]",0,pstylish7_chinese-poem
chinese-poem,jdylc-13.png,"(1500, 2653)",T-V,"[215, 299, 308, 1029]",0,pstylish7_chinese-poem
chinese-poem,jdylc-13.png,"(1500, 2653)",T-V,"[109, 632, 175, 1753]",0,pstylish7_chinese-poem
chinese-poem,jdylc-14.png,"(1500, 2653)",L,"[81, 2368, 433, 2601]",0,pstylish7_chinese-poem
chinese-poem,jdylc-14.png,"(1500, 2653)",T-V,"[290, 351, 396, 1374]",0,pstylish7_chinese-poem
chinese-poem,jdylc-14.png,"(1500, 2653)",T-V,"[175, 348, 284, 1377]",0,pstylish7_chinese-poem
chinese-poem,jdylc-14.png,"(1500, 2653)",T-V,"[93, 790, 154, 1371]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",L,"[75, 2368, 442, 2604]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",T-V,"[560, 311, 654, 1090]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",T-V,"[457, 311, 551, 1093]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",T-V,"[354, 311, 451, 1093]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",T-V,"[248, 311, 351, 1093]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",T-V,"[157, 708, 218, 1075]",0,pstylish7_chinese-poem
chinese-poem,jdylc-15.png,"(1500, 2653)",T-V,"[90, 823, 151, 1078]",0,pstylish7_chinese-poem
chinese-poem,jdylc-17.png,"(1080, 1920)",L,"[48, 1720, 302, 1880]",0,pstylish7_chinese-poem
