group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",T-G,"[316, 113, 762, 173]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",U,"[309, 105, 775, 196]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",E,"[458, 249, 525, 336]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",T-G,"[255, 636, 822, 692]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",T-G,"[453, 846, 626, 886]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",T-G,"[484, 891, 594, 920]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",T-G,"[414, 923, 662, 968]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",E,"[465, 903, 609, 914]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",U,"[324, 812, 755, 995]",0,pstylish7_food-menu
food-menu,DAGUX8WlZ4Q.png,"(1080, 1080)",T-S,"[537, 428, 306, 290]",0,pstylish7_food-menu
food-menu,DAGUX9FzO4Y.png,"(1587, 2245)",T-G,"[592, 503, 995, 586]",0,pstylish7_food-menu
food-menu,DAGUX9FzO4Y.png,"(1587, 2245)",T-G,"[627, 1886, 959, 1945]",0,pstylish7_food-menu
food-menu,DAGUX9FzO4Y.png,"(1587, 2245)",T-G,"[571, 2025, 1012, 2085]",0,pstylish7_food-menu
food-menu,DAGUX9FzO4Y.png,"(1587, 2245)",U,"[503, 1857, 1086, 1975]",0,pstylish7_food-menu
food-menu,DAGUX9FzO4Y.png,"(1587, 2245)",U,"[485, 473, 1101, 616]",0,pstylish7_food-menu
food-menu,DAGUX9FzO4Y.png,"(1587, 2245)",T-S,"[796, 480, 638, 309]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[536, 385, 1081, 470]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[533, 518, 1113, 613]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[1158, 1312, 1371, 1397]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[1158, 1403, 1368, 1433]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[728, 1670, 888, 1700]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",U,"[704, 1664, 909, 1708]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[639, 1732, 971, 1780]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-G,"[663, 1800, 965, 1827]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",L,"[488, 1984, 1125, 2064]",0,pstylish7_food-menu
food-menu,DAGUX9wXYmQ.png,"(1587, 2245)",T-S,"[804, 302, 348, 105]",0,pstylish7_food-menu
food-menu,DAGUXgKepXY.png,"(1587, 2245)",T-G,"[464, 316, 1122, 494]",0,pstylish7_food-menu
food-menu,DAGUXgKepXY.png,"(1587, 2245)",T-G,"[746, 1785, 841, 1845]",0,pstylish7_food-menu
food-menu,DAGUXgKepXY.png,"(1587, 2245)",T-G,"[473, 1916, 1107, 1975]",0,pstylish7_food-menu
