group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
kind-animals,1932.png,"(615, 797)",T-G,"[33, 684, 580, 710]",0,pstylish7_kind-animals
kind-animals,1932.png,"(615, 797)",T-G,"[108, 717, 501, 738]",0,pstylish7_kind-animals
kind-animals,1932.png,"(615, 797)",T-S,"[301, 138, 285, 98]",0,pstylish7_kind-animals
kind-animals,1933.png,"(614, 791)",T-G,"[34, 589, 238, 616]",0,pstylish7_kind-animals
kind-animals,1933.png,"(614, 791)",T-G,"[96, 676, 521, 697]",0,pstylish7_kind-animals
kind-animals,1933.png,"(614, 791)",T-G,"[171, 708, 448, 731]",0,pstylish7_kind-animals
kind-animals,1933.png,"(614, 791)",T-G,"[65, 746, 338, 762]",0,pstylish7_kind-animals
kind-animals,1933.png,"(614, 791)",T-G,"[406, 742, 550, 762]",0,pstylish7_kind-animals
kind-animals,1933.png,"(614, 791)",T-S,"[307, 154, 294, 113]",0,pstylish7_kind-animals
kind-animals,1934.png,"(603, 791)",T-G,"[128, 665, 461, 693]",0,pstylish7_kind-animals
kind-animals,1934.png,"(603, 791)",T-G,"[162, 694, 427, 717]",0,pstylish7_kind-animals
kind-animals,1934.png,"(603, 791)",T-G,"[111, 727, 476, 750]",0,pstylish7_kind-animals
kind-animals,1934.png,"(603, 791)",T-S,"[297, 92, 295, 88]",0,pstylish7_kind-animals
kind-animals,1935.png,"(609, 799)",T-G,"[135, 696, 474, 709]",0,pstylish7_kind-animals
kind-animals,1935.png,"(609, 799)",T-G,"[91, 723, 515, 739]",0,pstylish7_kind-animals
kind-animals,1935.png,"(609, 799)",T-G,"[182, 746, 426, 764]",0,pstylish7_kind-animals
kind-animals,1935.png,"(609, 799)",T-S,"[306, 88, 299, 82]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-G,"[390, 143, 564, 187]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-G,"[391, 204, 563, 240]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",E,"[439, 260, 516, 274]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-G,"[388, 295, 564, 336]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-G,"[82, 679, 519, 705]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-G,"[160, 708, 437, 734]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-G,"[110, 744, 490, 765]",0,pstylish7_kind-animals
kind-animals,1936.png,"(609, 789)",T-S,"[301, 86, 302, 72]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-G,"[403, 124, 550, 154]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-G,"[448, 162, 510, 187]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-G,"[455, 191, 594, 222]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-G,"[136, 691, 470, 707]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-G,"[90, 717, 513, 738]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-G,"[182, 742, 424, 759]",0,pstylish7_kind-animals
kind-animals,1938-1.png,"(606, 795)",T-S,"[305, 73, 263, 63]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[404, 124, 551, 153]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[444, 161, 512, 188]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[453, 193, 594, 221]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[35, 672, 576, 695]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[216, 697, 372, 717]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[133, 722, 480, 742]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-G,"[210, 746, 404, 769]",0,pstylish7_kind-animals
kind-animals,1938-2.png,"(611, 789)",T-S,"[305, 70, 264, 55]",0,pstylish7_kind-animals
kind-animals,1939-1.png,"(602, 793)",T-G,"[71, 159, 242, 206]",0,pstylish7_kind-animals
kind-animals,1939-1.png,"(602, 793)",T-G,"[43, 684, 558, 708]",0,pstylish7_kind-animals
kind-animals,1939-1.png,"(602, 793)",T-G,"[229, 713, 374, 740]",0,pstylish7_kind-animals
kind-animals,1939-1.png,"(602, 793)",T-G,"[43, 749, 289, 775]",0,pstylish7_kind-animals
kind-animals,1939-1.png,"(602, 793)",T-G,"[427, 752, 558, 779]",0,pstylish7_kind-animals
kind-animals,1939-1.png,"(602, 793)",T-S,"[301, 98, 274, 61]",0,pstylish7_kind-animals
kind-animals,1939-2.png,"(607, 799)",T-G,"[71, 674, 535, 707]",0,pstylish7_kind-animals
kind-animals,1939-2.png,"(607, 799)",T-G,"[112, 709, 492, 736]",0,pstylish7_kind-animals
kind-animals,1939-2.png,"(607, 799)",T-G,"[32, 738, 339, 768]",0,pstylish7_kind-animals
kind-animals,1939-2.png,"(607, 799)",T-G,"[388, 742, 576, 768]",0,pstylish7_kind-animals
kind-animals,1939-2.png,"(607, 799)",T-G,"[40, 39, 571, 115]",0,pstylish7_kind-animals
kind-animals,19uu-1.png,"(601, 793)",T-G,"[188, 659, 408, 690]",0,pstylish7_kind-animals
