group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
london-subway,001-1.png,"(1200, 1913)",T-R,"[42, 478, 1155, 760]",340,pstylish7_london-subway
london-subway,001-1.png,"(1200, 1913)",T-R,"[354, 689, 431, 865]",341,pstylish7_london-subway
london-subway,001-1.png,"(1200, 1913)",T-R,"[0, 974, 1113, 1424]",340,pstylish7_london-subway
london-subway,001-1.png,"(1200, 1913)",L,"[91, 1773, 397, 1805]",0,pstylish7_london-subway
london-subway,001-1.png,"(1200, 1913)",L,"[746, 1731, 1107, 1847]",0,pstylish7_london-subway
london-subway,001-1.png,"(1200, 1913)",T-R,"[426, 1527, 902, 1692]",339,pstylish7_london-subway
london-subway,002-1.png,"(1200, 369)",T-R,"[96, 87, 801, 276]",354,pstylish7_london-subway
london-subway,002-1.png,"(1200, 369)",T-R,"[267, 282, 357, 318]",354,pstylish7_london-subway
london-subway,002-1.png,"(1200, 369)",T-R,"[432, 268, 942, 338]",354,pstylish7_london-subway
london-subway,002-1.png,"(1200, 369)",T-R,"[891, 41, 1080, 115]",354,pstylish7_london-subway
london-subway,002-1.png,"(1200, 369)",L,"[57, 292, 202, 306]",0,pstylish7_london-subway
london-subway,002-1.png,"(1200, 369)",L,"[971, 271, 1143, 325]",0,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",L,"[89, 1773, 388, 1803]",0,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",L,"[738, 1731, 1100, 1847]",0,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",T-R,"[91, 250, 407, 323]",350,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",T-R,"[106, 335, 423, 614]",350,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",T-R,"[60, 652, 475, 1088]",350,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",T-R,"[480, 418, 1129, 856]",350,pstylish7_london-subway
london-subway,003-1.png,"(1200, 1913)",T-R,"[141, 1117, 555, 1454]",350,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",L,"[91, 1771, 399, 1808]",0,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",L,"[749, 1731, 1111, 1847]",0,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",T-R,"[188, 363, 488, 522]",15,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",T-R,"[134, 572, 466, 646]",15,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",T-R,"[106, 669, 1203, 906]",15,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",T-R,"[409, 1377, 1740, 1625]",285,pstylish7_london-subway
london-subway,005.png,"(1200, 1913)",T-R,"[738, 1187, 1005, 1396]",15,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",L,"[50, 468, 215, 488]",0,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",L,"[963, 443, 1159, 506]",0,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",T-R,"[64, 193, 240, 282]",350,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",T-R,"[80, 292, 273, 334]",350,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",T-R,"[271, 154, 1115, 305]",350,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",T-R,"[232, 342, 924, 492]",350,pstylish7_london-subway
london-subway,006-1.png,"(1200, 537)",T-R,"[938, 229, 1080, 337]",350,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",L,"[97, 1771, 393, 1806]",0,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",L,"[751, 1733, 1107, 1848]",0,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",T-R,"[66, 269, 903, 515]",349,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",T-R,"[36, 162, 405, 241]",349,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",T-R,"[220, 1192, 1071, 1438]",349,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",T-R,"[275, 1461, 1125, 1540]",349,pstylish7_london-subway
london-subway,007-1.png,"(1200, 1913)",T-R,"[293, 1570, 1145, 1701]",349,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",L,"[41, 467, 226, 485]",0,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",L,"[942, 443, 1156, 511]",0,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",T-R,"[44, 68, 241, 113]",353,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",T-R,"[53, 127, 455, 245]",353,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",T-R,"[62, 259, 468, 377]",353,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",T-R,"[879, 257, 1043, 302]",353,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",T-R,"[885, 305, 1148, 349]",353,pstylish7_london-subway
london-subway,008-1.png,"(1200, 552)",T-R,"[890, 351, 1148, 396]",353,pstylish7_london-subway
london-subway,009-1.png,"(1200, 529)",L,"[67, 449, 240, 466]",0,pstylish7_london-subway
london-subway,009-1.png,"(1200, 529)",L,"[928, 424, 1132, 488]",0,pstylish7_london-subway
london-subway,009-1.png,"(1200, 529)",T-R,"[68, 167, 891, 396]",349,pstylish7_london-subway
london-subway,009-1.png,"(1200, 529)",T-R,"[922, 194, 1130, 246]",349,pstylish7_london-subway
london-subway,009-1.png,"(1200, 529)",T-R,"[356, 380, 484, 432]",349,pstylish7_london-subway
london-subway,009-1.png,"(1200, 529)",T-R,"[506, 355, 1020, 429]",349,pstylish7_london-subway
london-subway,010-1.png,"(1200, 1913)",L,"[97, 1773, 395, 1811]",0,pstylish7_london-subway
london-subway,010-1.png,"(1200, 1913)",L,"[746, 1733, 1107, 1845]",0,pstylish7_london-subway
london-subway,010-1.png,"(1200, 1913)",T-R,"[244, 257, 1414, 588]",35,pstylish7_london-subway
london-subway,010-1.png,"(1200, 1913)",T-R,"[405, 817, 1247, 946]",35,pstylish7_london-subway
london-subway,010-1.png,"(1200, 1913)",T-R,"[273, 879, 403, 933]",306,pstylish7_london-subway
london-subway,010-1.png,"(1200, 1913)",T-R,"[253, 904, 770, 1003]",35,pstylish7_london-subway
london-subway,011-1.png,"(1076, 1754)",L,"[59, 1637, 371, 1676]",0,pstylish7_london-subway
london-subway,011-1.png,"(1076, 1754)",L,"[659, 1594, 1014, 1717]",0,pstylish7_london-subway
london-subway,011-1.png,"(1076, 1754)",T-R,"[27, 891, 874, 1072]",343,pstylish7_london-subway
london-subway,011-1.png,"(1076, 1754)",T-R,"[497, 972, 1047, 1153]",343,pstylish7_london-subway
london-subway,011-1.png,"(1076, 1754)",T-R,"[143, 1073, 494, 1172]",343,pstylish7_london-subway
london-subway,011-1.png,"(1076, 1754)",T-R,"[554, 1182, 942, 1316]",343,pstylish7_london-subway
london-subway,012-1.png,"(1308, 2098)",L,"[98, 1934, 428, 1977]",0,pstylish7_london-subway
london-subway,012-1.png,"(1308, 2098)",L,"[821, 1893, 1205, 2016]",0,pstylish7_london-subway
london-subway,012-1.png,"(1308, 2098)",T-R,"[11, 722, 1047, 1000]",342,pstylish7_london-subway
london-subway,012-1.png,"(1308, 2098)",T-R,"[312, 957, 1240, 1175]",342,pstylish7_london-subway
london-subway,012-1.png,"(1308, 2098)",T-R,"[850, 1130, 1192, 1282]",342,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",L,"[61, 1639, 374, 1674]",0,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",L,"[652, 1601, 1017, 1712]",0,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",T-R,"[35, 295, 1002, 562]",345,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",T-R,"[725, 413, 997, 513]",345,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",T-R,"[77, 1129, 275, 1209]",345,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",T-R,"[0, 1285, 1068, 1552]",345,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",T-R,"[360, 1493, 785, 1588]",345,pstylish7_london-subway
london-subway,013-1.png,"(1076, 1754)",T-R,"[786, 1376, 1050, 1490]",345,pstylish7_london-subway
