group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
motivational-quote,DAGUX425tD0.png,"(1080, 1080)",T-C,M 28 239 C 113 297 269 335 391 295 C 499 260 599 198 710 170 C 802 147 916 174 1016 226,0,pstylish7_motivational-quote
motivational-quote,DAGUX50FGOU.png,"(1080, 1080)",T-C,M 134 854 C 127 624 330 748 379 759 C 415 766 455 750 486 729 C 558 679 562 630 553 556 C 545 482 512 448 569 386 C 700 313 764 429 830 429 C 901 430 931 401 976 364,0,pstylish7_motivational-quote
motivational-quote,DAGUX9cwrzs.png,"(1080, 1080)",T-C,M 0 513 C 39 569 154 656 328 679 C 405 690 478 666 532 645 C 574 630 630 644 669 653 C 704 661 736 679 768 696 C 802 716 829 749 866 765 C 957 805 1036 794 1080 776,0,pstylish7_motivational-quote
motivational-quote,DAGUX9cwrzs.png,"(1080, 1080)",T-C,M 4 641 C 43 698 166 788 340 812 C 418 823 491 798 545 778 C 587 763 643 777 681 786 C 716 794 749 811 780 829 C 815 849 841 883 878 898 C 971 935 1040 929 1081 915,0,pstylish7_motivational-quote
motivational-quote,DAGUX9cwrzs.png,"(1080, 1080)",T-C,M 2 759 C 37 829 168 922 343 944 C 420 954 482 931 536 911 C 578 895 645 909 684 918 C 719 926 751 943 783 961 C 817 981 843 1017 881 1030 C 970 1061 1040 1067 1083 1050,0,pstylish7_motivational-quote
motivational-quote,DAGUY-lU4Xc.png,"(1080, 1080)",T-C,M 108 263 C 207 280 313 261 415 245 C 494 232 571 204 642 171,0,pstylish7_motivational-quote
motivational-quote,DAGUY-lU4Xc.png,"(1080, 1080)",T-C,M 237 348 C 335 355 428 335 521 313 C 604 294 679 260 754 224,0,pstylish7_motivational-quote
motivational-quote,DAGUY-lU4Xc.png,"(1080, 1080)",T-C,M 401 435 C 438 430 476 428 512 420 C 549 411 584 395 620 383,0,pstylish7_motivational-quote
motivational-quote,DAGUY3gRD8g.png,"(1080, 1080)",T-G,"[178, 336, 427, 400]",0,pstylish7_motivational-quote
motivational-quote,DAGUY3gRD8g.png,"(1080, 1080)",T-G,"[179, 414, 428, 468]",0,pstylish7_motivational-quote
motivational-quote,DAGUY3gRD8g.png,"(1080, 1080)",T-G,"[185, 484, 421, 551]",0,pstylish7_motivational-quote
motivational-quote,DAGUY3gRD8g.png,"(1080, 1080)",T-G,"[210, 562, 391, 618]",0,pstylish7_motivational-quote
motivational-quote,DAGUY3gRD8g.png,"(1080, 1080)",T-G,"[198, 673, 407, 712]",0,pstylish7_motivational-quote
motivational-quote,DAGUY4GcsG4.png,"(1080, 1080)",T-G,"[143, 200, 537, 270]",0,pstylish7_motivational-quote
motivational-quote,DAGUY4GcsG4.png,"(1080, 1080)",T-G,"[142, 280, 441, 353]",0,pstylish7_motivational-quote
motivational-quote,DAGUY4GcsG4.png,"(1080, 1080)",T-G,"[146, 367, 403, 430]",0,pstylish7_motivational-quote
motivational-quote,DAGUY4GcsG4.png,"(1080, 1080)",T-G,"[138, 471, 284, 502]",0,pstylish7_motivational-quote
motivational-quote,DAGUY5l5V8g.png,"(1080, 1080)",T-C,M 150 263 C 226 280 301 317 379 314 C 485 311 583 252 689 247 C 757 244 822 276 889 291,0,pstylish7_motivational-quote
motivational-quote,DAGUY5l5V8g.png,"(1080, 1080)",T-C,M 616 343 C 652 337 696 330 732 333 C 771 335 799 348 837 358,0,pstylish7_motivational-quote
motivational-quote,DAGUY68A0yk.png,"(1080, 1080)",T-C,M 563 682 C 586 701 605 728 633 739 C 664 751 700 745 733 747,0,pstylish7_motivational-quote
motivational-quote,DAGUY68A0yk.png,"(1080, 1080)",T-C,M 252 390 C 288 371 323 344 363 338 C 555 313 789 526 789 593,0,pstylish7_motivational-quote
motivational-quote,DAGUY8D3MG4.png,"(1080, 1080)",T-G,"[302, 226, 773, 289]",0,pstylish7_motivational-quote
motivational-quote,DAGUY8D3MG4.png,"(1080, 1080)",T-G,"[364, 294, 712, 346]",0,pstylish7_motivational-quote
motivational-quote,DAGUY8D3MG4.png,"(1080, 1080)",T-G,"[461, 400, 615, 433]",0,pstylish7_motivational-quote
motivational-quote,DAGUY8yFwfM.png,"(1080, 1080)",T-C,M 90 318 C 156 285 229 250 305 246 C 409 241 564 319 614 414 C 644 470 663 528 682 588,0,pstylish7_motivational-quote
motivational-quote,DAGUYAkgI30.png,"(1080, 1080)",E,"[322, 500, 753, 542]",0,pstylish7_motivational-quote
motivational-quote,DAGUYAkgI30.png,"(1080, 1080)",T-C,M 274 335 C 329 309 418 268 533 262 C 633 256 722 294 813 334,0,pstylish7_motivational-quote
motivational-quote,DAGUYAkgI30.png,"(1080, 1080)",T-C,M 237 482 C 313 429 387 357 535 363 C 660 367 761 424 851 484,0,pstylish7_motivational-quote
motivational-quote,DAGUYFlpU2E.png,"(1080, 1080)",E,"[92, 333, 151, 387]",0,pstylish7_motivational-quote
motivational-quote,DAGUYFlpU2E.png,"(1080, 1080)",E,"[943, 333, 998, 393]",0,pstylish7_motivational-quote
motivational-quote,DAGUYFlpU2E.png,"(1080, 1080)",T-C,M 181 347 C 237 313 322 262 398 258 C 646 248 774 404 919 383,0,pstylish7_motivational-quote
motivational-quote,DAGUYIKzrrc.png,"(1080, 1080)",E,"[54, 477, 162, 554]",0,pstylish7_motivational-quote
motivational-quote,DAGUYIKzrrc.png,"(1080, 1080)",E,"[918, 585, 1028, 669]",0,pstylish7_motivational-quote
motivational-quote,DAGUYIKzrrc.png,"(1080, 1080)",T-C,M 122 650 C 184 620 276 576 351 577 C 494 578 626 632 772 603 C 839 590 916 558 978 525,0,pstylish7_motivational-quote
motivational-quote,DAGUYJT1gQM.png,"(1080, 1920)",T-C,M 32 866 C 119 892 203 942 294 943 C 422 946 545 880 674 878 C 760 876 842 924 929 931 C 968 934 1006 915 1045 908,0,pstylish7_motivational-quote
motivational-quote,DAGUYJT1gQM.png,"(1080, 1920)",T-C,M 18 989 C 77 1036 226 1077 336 1079 C 447 1081 549 1007 659 1003 C 746 1000 828 1045 914 1052 C 954 1055 992 1041 1031 1033,0,pstylish7_motivational-quote
motivational-quote,DAGUYMem24k.png,"(1080, 1350)",T-C,M 121 294 C 183 262 276 239 352 236 C 507 230 551 306 772 372 C 834 390 930 384 980 380,0,pstylish7_motivational-quote
motivational-quote,DAGUYOyDN1c.png,"(1080, 1080)",T-C,M 295 556 C 295 556 347 38 644 177 C 738 220 747 357 762 463,0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",E,"[152, 94, 206, 143]",0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",E,"[303, 112, 595, 132]",0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",T-G,"[691, 106, 910, 133]",0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",T-G,"[152, 921, 326, 944]",0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",E,"[437, 924, 730, 944]",0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",E,"[823, 891, 907, 971]",0,pstylish7_motivational-quote
motivational-quote,DAGUYT4jwQ8.png,"(1080, 1080)",T-C,M 256 551 C 299 491 377 379 537 379 C 655 378 764 469 833 555,0,pstylish7_motivational-quote
motivational-quote,DAGUY_79ntk.png,"(1080, 1080)",T-G,"[393, 94, 685, 119]",0,pstylish7_motivational-quote
motivational-quote,DAGUY_79ntk.png,"(1080, 1080)",T-G,"[98, 319, 983, 373]",0,pstylish7_motivational-quote
motivational-quote,DAGUY_79ntk.png,"(1080, 1080)",T-G,"[266, 403, 817, 455]",0,pstylish7_motivational-quote
motivational-quote,DAGUYfTXlto.png,"(1080, 1080)",T-C,M 33 138 C 48 212 59 279 105 343 C 246 538 338 507 537 576 C 605 599 673 611 731 653 C 907 777 920 834 1007 1008,0,pstylish7_motivational-quote
motivational-quote,DAGUYxjfcAY.png,"(1080, 1080)",T-C,M 122 204 C 175 209 227 216 280 213 C 325 210 371 193 415 184,0,pstylish7_motivational-quote
motivational-quote,DAGUYxjfcAY.png,"(1080, 1080)",T-C,M 256 275 C 314 269 375 269 431 254 C 489 239 541 205 597 181,0,pstylish7_motivational-quote
motivational-quote,DAGUYxjfcAY.png,"(1080, 1080)",T-C,M 145 437 C 182 443 216 455 253 454 C 290 452 331 433 367 424,0,pstylish7_motivational-quote
motivational-quote,DAGUYyipYLE.png,"(1080, 1080)",T-G,"[266, 151, 840, 188]",0,pstylish7_motivational-quote
motivational-quote,DAGUYyipYLE.png,"(1080, 1080)",T-G,"[190, 510, 906, 594]",0,pstylish7_motivational-quote
motivational-quote,DAGUYyipYLE.png,"(1080, 1080)",T-G,"[339, 626, 760, 668]",0,pstylish7_motivational-quote
