group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[254, 219, 399, 272]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[547, 219, 693, 272]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[876, 219, 1021, 272]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[1178, 219, 1323, 272]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[385, 1261, 1214, 1525]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",U,"[284, 1249, 1282, 1537]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[619, 1590, 977, 1673]",0,pstylish7_movie-poster
movie-poster,DAGUHTuYHDE.png,"(1587, 2245)",T-G,"[432, 1951, 1158, 2002]",0,pstylish7_movie-poster
movie-poster,DAGUHUleA8E.png,"(1587, 2245)",T-G,"[373, 186, 527, 242]",0,pstylish7_movie-poster
movie-poster,DAGUHUleA8E.png,"(1587, 2245)",T-G,"[1098, 186, 1252, 242]",0,pstylish7_movie-poster
movie-poster,DAGUHUleA8E.png,"(1587, 2245)",T-G,"[533, 441, 1060, 642]",0,pstylish7_movie-poster
movie-poster,DAGUHUleA8E.png,"(1587, 2245)",T-G,"[509, 678, 1086, 879]",0,pstylish7_movie-poster
movie-poster,DAGUHUleA8E.png,"(1587, 2245)",T-G,"[613, 938, 974, 983]",0,pstylish7_movie-poster
movie-poster,DAGUHUleA8E.png,"(1587, 2245)",T-G,"[165, 2034, 1421, 2141]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[142, 74, 322, 186]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[497, 74, 698, 186]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[903, 77, 1063, 189]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[1288, 74, 1424, 186]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[275, 1054, 1309, 1101]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[100, 1155, 1463, 1326]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[583, 1371, 1001, 1415]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[127, 1913, 1457, 2058]",0,pstylish7_movie-poster
movie-poster,DAGUX7VQ7B8.png,"(1587, 2245)",T-G,"[630, 2117, 953, 2188]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",E,"[242, 105, 292, 248]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",E,"[614, 108, 664, 250]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",E,"[744, 108, 794, 250]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",E,"[1121, 108, 1171, 250]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[308, 131, 606, 218]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[804, 131, 1110, 221]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[224, 358, 406, 427]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[622, 356, 804, 424]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[1013, 356, 1195, 424]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[366, 1606, 1044, 1651]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[171, 1337, 1245, 1575]",0,pstylish7_movie-poster
movie-poster,DAGUX7Z9odA.png,"(1414, 2000)",T-G,"[221, 1786, 1192, 1836]",0,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-G,"[470, 159, 1110, 207]",0,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-R,"[400, 723, 1062, 1023]",351,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-R,"[409, 1028, 1217, 1344]",351,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-G,"[242, 1557, 491, 1634]",0,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-G,"[672, 1554, 921, 1631]",0,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-G,"[1128, 1557, 1362, 1634]",0,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-G,"[225, 1794, 1323, 1907]",0,pstylish7_movie-poster
movie-poster,DAGUX8FrHsU.png,"(1587, 2245)",T-G,"[387, 2034, 1208, 2076]",0,pstylish7_movie-poster
movie-poster,DAGUX9iDIC0.png,"(1587, 2245)",T-G,"[616, 393, 989, 515]",0,pstylish7_movie-poster
movie-poster,DAGUX9iDIC0.png,"(1587, 2245)",T-G,"[396, 536, 1208, 734]",0,pstylish7_movie-poster
movie-poster,DAGUX9iDIC0.png,"(1587, 2245)",T-G,"[236, 142, 402, 231]",0,pstylish7_movie-poster
movie-poster,DAGUX9iDIC0.png,"(1587, 2245)",T-G,"[512, 139, 764, 228]",0,pstylish7_movie-poster
