group,poster_path,original_size,cls_elem,box_elem,rot_elem,dataset
travel-vintage,service-pnp-ds-14000-14053v.png,"(685, 1024)",T-G,"[226, 840, 544, 879]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ds-14000-14053v.png,"(685, 1024)",T-G,"[226, 883, 548, 901]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ds-14000-14053v.png,"(685, 1024)",T-G,"[72, 937, 613, 967]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ds-14000-14053v.png,"(685, 1024)",T-G,"[232, 905, 544, 932]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ppmsca-13300-13396v.png,"(763, 1024)",T-G,"[52, 791, 444, 863]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ppmsca-13300-13396v.png,"(763, 1024)",T-G,"[52, 869, 429, 901]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ppmsca-13300-13396v.png,"(763, 1024)",T-G,"[71, 909, 386, 932]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ppmsca-13300-13396v.png,"(763, 1024)",T-G,"[29, 40, 717, 68]",0,pstylish7_travel-vintage
travel-vintage,service-pnp-ppmsca-13300-13396v.png,"(763, 1024)",T-G,"[37, 78, 436, 104]",0,pstylish7_travel-vintage
travel-vintage,travel-4001428_1920.png,"(1242, 1920)",T-G,"[70, 1679, 770, 1854]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705053_1920.png,"(1186, 1920)",T-G,"[103, 1638, 1084, 1836]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705053_1920.png,"(1186, 1920)",L,"[101, 1466, 195, 1578]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705053_1920.png,"(1186, 1920)",L,"[987, 1464, 1086, 1572]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705055_1920.png,"(1361, 1920)",T-G,"[96, 5, 1269, 78]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705055_1920.png,"(1361, 1920)",T-G,"[50, 1651, 676, 1884]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705055_1920.png,"(1361, 1920)",T-G,"[729, 1654, 1294, 1760]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705055_1920.png,"(1361, 1920)",T-G,"[696, 1783, 1317, 1882]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705056_1920.png,"(1196, 1920)",T-G,"[164, 1512, 1015, 1795]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705056_1920.png,"(1196, 1920)",L,"[63, 1588, 164, 1702]",0,pstylish7_travel-vintage
travel-vintage,vintage-1705056_1920.png,"(1196, 1920)",L,"[1020, 1598, 1122, 1712]",0,pstylish7_travel-vintage
